x,y,gid,name,description,media
-75.143771,39.954389,90,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgEJfU85ZtNOarjpDfSTiErr2IvZ3SP_lqsIimE1knmfnId9zAWswegPs6MG4I2nYaGnPHK6vqannMPuikaUyDvph8IeMJ0OJR3A8tjbBbPqeXCi-84a9xYPNwvcnUv2w-Y2ooItbA86dmGbXBT0_0aqjeuI4uUugtg"" height=""200"" width=""auto"" /><br><br>Florist St",https://lh3.googleusercontent.com/umsh/ANkjSgEJfU85ZtNOarjpDfSTiErr2IvZ3SP_lqsIimE1knmfnId9zAWswegPs6MG4I2nYaGnPHK6vqannMPuikaUyDvph8IeMJ0OJR3A8tjbBbPqeXCi-84a9xYPNwvcnUv2w-Y2ooItbA86dmGbXBT0_0aqjeuI4uUugtg
-75.142341,39.953756,91,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgGAKtNvspfEE_wGr3RukcXE1TmDseXpvkOVZjCYQwl_97HqX0TyJkkMkJjuY7BDY1aZCxu50UEPZCKDSkbE6p6OWnGZ4zBhu8grlVcRH839EQeSZOd7jgGA9efR0mBv0w7WNpzQsDzogNItzI31eiPHMMe_qEKRofs"" height=""200"" width=""auto"" /><br><br>126 Race St",https://lh3.googleusercontent.com/umsh/ANkjSgGAKtNvspfEE_wGr3RukcXE1TmDseXpvkOVZjCYQwl_97HqX0TyJkkMkJjuY7BDY1aZCxu50UEPZCKDSkbE6p6OWnGZ4zBhu8grlVcRH839EQeSZOd7jgGA9efR0mBv0w7WNpzQsDzogNItzI31eiPHMMe_qEKRofs
-75.142341,39.953756,92,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgGAKtNvspfEE_wGr3RukcXE1TmDseXpvkOVZjCYQwl_97HqX0TyJkkMkJjuY7BDY1aZCxu50UEPZCKDSkbE6p6OWnGZ4zBhu8grlVcRH839EQeSZOd7jgGA9efR0mBv0w7WNpzQsDzogNItzI31eiPHMMe_qEKRofs"" height=""200"" width=""auto"" /><br><br>126 Race St",https://lh3.googleusercontent.com/umsh/ANkjSgGAKtNvspfEE_wGr3RukcXE1TmDseXpvkOVZjCYQwl_97HqX0TyJkkMkJjuY7BDY1aZCxu50UEPZCKDSkbE6p6OWnGZ4zBhu8grlVcRH839EQeSZOd7jgGA9efR0mBv0w7WNpzQsDzogNItzI31eiPHMMe_qEKRofs
-75.143009,39.953333,93,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgGb-dH3IlO-9wStG0w07Rlm8RLEUnGt6HwCZG7VShOmF0CWfPFWWsLKVPgjroyHfm63mkTweh9NxVXJLQvPxhrLFQ6bY7AoW9E1VmtnPybqlw-v2p96K80LpxgKxBdAJx6s_H2q-AbBayu6eVbE5huY12Dmy2VAd5V2"" height=""200"" width=""auto"" /><br><br>152 N 2nd St",https://lh3.googleusercontent.com/umsh/ANkjSgGb-dH3IlO-9wStG0w07Rlm8RLEUnGt6HwCZG7VShOmF0CWfPFWWsLKVPgjroyHfm63mkTweh9NxVXJLQvPxhrLFQ6bY7AoW9E1VmtnPybqlw-v2p96K80LpxgKxBdAJx6s_H2q-AbBayu6eVbE5huY12Dmy2VAd5V2
-75.143356,39.95218,94,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgFN2bj6lpUgI8fTg0O2oKCKkDMB-mUfavx3KM8dTjMGg6i0IEF_fooS96RwG6dJcWsRDqKYfn1zkzpZs4NQxXy-z6Zf5Pnk8Wu5Lq_JTHJDVj2ekPozEM7098lwM-mUx5sfbJhJ5rx_mEXlfN2VOijS600FZNrMJN0J"" height=""200"" width=""auto"" /><br><br>102 N 2nd St",https://lh3.googleusercontent.com/umsh/ANkjSgFN2bj6lpUgI8fTg0O2oKCKkDMB-mUfavx3KM8dTjMGg6i0IEF_fooS96RwG6dJcWsRDqKYfn1zkzpZs4NQxXy-z6Zf5Pnk8Wu5Lq_JTHJDVj2ekPozEM7098lwM-mUx5sfbJhJ5rx_mEXlfN2VOijS600FZNrMJN0J
-75.480881,40.298905,95,,Placemark 95,
-75.160679,39.977239,96,Right outside of the office there is a camera,Templetown Realty,
-75.607545,39.95943,97,"Entrance of Landmark, facing East down Gay St.",Business Camera - West Chester,
-75.200912,39.955876,98,"Philadelphia, PA 19104","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgH8ABAwftjfb3dmzdJoekXRciRSWTcrcb8tKLk_NLzLsuacuZS3a5yFh4rj_cnSP2ZU45oYrMOo7HdKdVUwoflcJVM35WlZNi7S7tFzLp9aN5oSlt74cCGcudie39W2JD9zJH3EAUOZAoWrICgDtCPaS4c8UBFvzG0n"" height=""200"" width=""auto"" /><br><br>3921 Chestnut St",https://lh3.googleusercontent.com/umsh/ANkjSgH8ABAwftjfb3dmzdJoekXRciRSWTcrcb8tKLk_NLzLsuacuZS3a5yFh4rj_cnSP2ZU45oYrMOo7HdKdVUwoflcJVM35WlZNi7S7tFzLp9aN5oSlt74cCGcudie39W2JD9zJH3EAUOZAoWrICgDtCPaS4c8UBFvzG0n
-75.203673,39.955791,99,"Philadelphia, PA 19104","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgHyycbdM_dIhuvM_wvUW2p1u-Jas4O6iL1xMKa8moU2-xoUGgcystaANrXZ7cChQSsK1OQEiGwaBAfDmFNmZCxmuziqtPlcn3SNpf6eprbaj99Q5FvY252z4nxRqDgjMJ-8qo5SQO6TaAKU45CWHlfqi2mVKGVndg_Y"" height=""200"" width=""auto"" /><br><br>4030 Chestnut St",https://lh3.googleusercontent.com/umsh/ANkjSgHyycbdM_dIhuvM_wvUW2p1u-Jas4O6iL1xMKa8moU2-xoUGgcystaANrXZ7cChQSsK1OQEiGwaBAfDmFNmZCxmuziqtPlcn3SNpf6eprbaj99Q5FvY252z4nxRqDgjMJ-8qo5SQO6TaAKU45CWHlfqi2mVKGVndg_Y
-75.203714,39.954856,100,"Philadelphia, PA 19104","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgGDzvrtCGC-a0gJHbUc0IRaphxibcbNHHAxVTiZjVt8GoUcoPMKbQ-pPhtPW5hqkqLF4UUXtnlupSaVC0nEYVGL6YFE4rD-F3-DlNpX7EFK0Dvwz_edIWzKzus9PNF0o9KqaqwBrjXKvx3eP5TfKcRqLGgcsyfN6D0"" height=""200"" width=""auto"" /><br><br>4026 Sansom St",https://lh3.googleusercontent.com/umsh/ANkjSgGDzvrtCGC-a0gJHbUc0IRaphxibcbNHHAxVTiZjVt8GoUcoPMKbQ-pPhtPW5hqkqLF4UUXtnlupSaVC0nEYVGL6YFE4rD-F3-DlNpX7EFK0Dvwz_edIWzKzus9PNF0o9KqaqwBrjXKvx3eP5TfKcRqLGgcsyfN6D0
-75.199788,39.954554,101,"University of Pennsylvania, Philadelphia, PA 19104","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgHLZ6hb5rulLiUBHP3tYARKepWpM2hH8-xyVzteVgZDIxpYdf2st11ObVETQxlxorUI5CSJj1Tauvyhf2XHBXVZmzjDfXiU_5e8Lheqc7U-aeGcPl1wgxmoa1D0hb2rskzSnF0wWkv0owHBD8MbYTjf96Qx1yr-Y0cM"" height=""200"" width=""auto"" /><br><br>3879 Sansom St",https://lh3.googleusercontent.com/umsh/ANkjSgHLZ6hb5rulLiUBHP3tYARKepWpM2hH8-xyVzteVgZDIxpYdf2st11ObVETQxlxorUI5CSJj1Tauvyhf2XHBXVZmzjDfXiU_5e8Lheqc7U-aeGcPl1wgxmoa1D0hb2rskzSnF0wWkv0owHBD8MbYTjf96Qx1yr-Y0cM
-75.196093,39.954054,102,"University of Pennsylvania, Philadelphia, PA 19104","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgGJyA2m5Ns4lXbLWKMVAZeHyaR-ph-nruvWiI3yyGEPFpYVyAxtumtqZE4lc94ze_wRKgyLxprY6bWTRieJq4y1TIKkL6DmCwxQ8Px0qAh-RZVw2KuOuaqbg5qIxA1z-LbTJXJhy0JEPyuoxe2AUoxMNd1FHLVe_WY2"" height=""200"" width=""auto"" /><br><br>3670 Sansom St",https://lh3.googleusercontent.com/umsh/ANkjSgGJyA2m5Ns4lXbLWKMVAZeHyaR-ph-nruvWiI3yyGEPFpYVyAxtumtqZE4lc94ze_wRKgyLxprY6bWTRieJq4y1TIKkL6DmCwxQ8Px0qAh-RZVw2KuOuaqbg5qIxA1z-LbTJXJhy0JEPyuoxe2AUoxMNd1FHLVe_WY2
-75.194044,39.956596,103,"Philadelphia, PA 19104","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgFMmOl8UK3WSsnMMtj-xgo-hBxBwU6pvM0X7z7RzPV29UF7vCCN9tN45l80ZDzE9ww3_T8no7a9mpxvxxY02n2e_t22Xl3lMcqQvN_4rN332IOWlHqJCzYEIB_8f3dKzcRQAmfvi66f8DKhLPbco4aKrXgM1UNsWAQk"" height=""200"" width=""auto"" /><br><br>11 N 36th St",https://lh3.googleusercontent.com/umsh/ANkjSgFMmOl8UK3WSsnMMtj-xgo-hBxBwU6pvM0X7z7RzPV29UF7vCCN9tN45l80ZDzE9ww3_T8no7a9mpxvxxY02n2e_t22Xl3lMcqQvN_4rN332IOWlHqJCzYEIB_8f3dKzcRQAmfvi66f8DKhLPbco4aKrXgM1UNsWAQk
-75.194001,39.95682,104,"Philadelphia, PA 19104","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgHpCcA5-fOOf0drBpgeRWsCr-8i8YNzgyJsu6tEikUI5pILQ01jsDHN6QMUiUFsI32TRxd6dUiaV4BamdQsniqYIQTdAFFy0hRGUudZe9Lbcs4HstYMHdSR1Zf5kDdj4wnC5TmCU0TnEm2lV-RLYNW9e6_-N6zTWXFA"" height=""200"" width=""auto"" /><br><br>17 N 36th St",https://lh3.googleusercontent.com/umsh/ANkjSgHpCcA5-fOOf0drBpgeRWsCr-8i8YNzgyJsu6tEikUI5pILQ01jsDHN6QMUiUFsI32TRxd6dUiaV4BamdQsniqYIQTdAFFy0hRGUudZe9Lbcs4HstYMHdSR1Zf5kDdj4wnC5TmCU0TnEm2lV-RLYNW9e6_-N6zTWXFA
-75.148636,39.945362,105,"Independence, Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgFEta-aUXUm2QTs_3FXPIQFZTCiyDX8bEiFZ0WSmvz8faws1Gf3HfbC0_gpoDgEx7uNDpHH_DMQ2-NwagnpsopO1vm1y3LcRJ55zVOwcrOfL2vSefDgtTdNtSmPdFds9PgyOOEk2_8a3qu6SENlylnchBCEEV0zCKoO"" height=""200"" width=""auto"" /><br><br>417 Manning St",https://lh3.googleusercontent.com/umsh/ANkjSgFEta-aUXUm2QTs_3FXPIQFZTCiyDX8bEiFZ0WSmvz8faws1Gf3HfbC0_gpoDgEx7uNDpHH_DMQ2-NwagnpsopO1vm1y3LcRJ55zVOwcrOfL2vSefDgtTdNtSmPdFds9PgyOOEk2_8a3qu6SENlylnchBCEEV0zCKoO
-75.189303,39.931302,106,,Vare Playground,
-75.760345,40.425519,107,Camera at gas station,"1208 North 6th Street, Philadelphia, Pennsylvania, United States",
-75.165124,39.937646,108,"Philadelphia, PA","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgFl-9QSESYBPk18p0CbV70ut_JUZzAXeMB2Yosnf4yRjRbonvkmlzwWLuqQZLqE8zQzgo8gnEHXU7Ac0ryGX05nxsbWY_MYfWgjhSn50f7ySNHXQj7ldgc08XTeevnbOxFOVrIgbiH1sw7foENaXxxhdgHvEsQZ4wA2"" height=""200"" width=""auto"" /><br><br>Washington Ave",https://lh3.googleusercontent.com/umsh/ANkjSgFl-9QSESYBPk18p0CbV70ut_JUZzAXeMB2Yosnf4yRjRbonvkmlzwWLuqQZLqE8zQzgo8gnEHXU7Ac0ryGX05nxsbWY_MYfWgjhSn50f7ySNHXQj7ldgc08XTeevnbOxFOVrIgbiH1sw7foENaXxxhdgHvEsQZ4wA2
-75.169545,39.925428,109,"Philadelphia, PA 19145","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgFud3ich7nSrcQHeUABveP3wSeLdjI3b0TQJsuu_3xt6qIwe7bJtwky0jXc0LiV5TbLAXPvsdKOPjHuztlcGw0qmZgJ6zf_X8AT78bQQMr3aaKc_qjqaAALD6T_0DRojBkRD9dixNp2LYAfz7VOGCsoJiOlgGC4q5I"" height=""200"" width=""auto"" /><br><br>2008 Pennsylvania 611",https://lh3.googleusercontent.com/umsh/ANkjSgFud3ich7nSrcQHeUABveP3wSeLdjI3b0TQJsuu_3xt6qIwe7bJtwky0jXc0LiV5TbLAXPvsdKOPjHuztlcGw0qmZgJ6zf_X8AT78bQQMr3aaKc_qjqaAALD6T_0DRojBkRD9dixNp2LYAfz7VOGCsoJiOlgGC4q5I
-75.143278,39.951984,110,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgEnpfDgzpeCFSpJCDqFvoSweeEVJn3NivylT_yVXpFESURbpVyhqb1DsyFzmhtA6O7axoTuDA4CRD-hJfiOF5PxL-3e9Ch7ZsAkX5ENPZyAq6gM_zABtLBYdCzGIiR4-t81b-dxV3McZWGNTdDXVPmOTc4QV6ikypI"" height=""200"" width=""auto"" /><br><br>100 N 2nd St",https://lh3.googleusercontent.com/umsh/ANkjSgEnpfDgzpeCFSpJCDqFvoSweeEVJn3NivylT_yVXpFESURbpVyhqb1DsyFzmhtA6O7axoTuDA4CRD-hJfiOF5PxL-3e9Ch7ZsAkX5ENPZyAq6gM_zABtLBYdCzGIiR4-t81b-dxV3McZWGNTdDXVPmOTc4QV6ikypI
-75.146685,39.950312,111,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgHrJ1Xgam6t7kogqO9F7FN-jWrLvsBmiRZgWHzfTCAdkUN-_aWLFHyoEtg0-1tIYMBQPaBqlPvy_gOVbr9KS9J0PqOJsk3DC8Wj8cY9YyOFR_ajLEl4MZJe3ZPl646RVG7losaKG9yMLzH6GvQaNeUBJix6iCncv2c"" height=""200"" width=""auto"" /><br><br>324 Market St",https://lh3.googleusercontent.com/umsh/ANkjSgHrJ1Xgam6t7kogqO9F7FN-jWrLvsBmiRZgWHzfTCAdkUN-_aWLFHyoEtg0-1tIYMBQPaBqlPvy_gOVbr9KS9J0PqOJsk3DC8Wj8cY9YyOFR_ajLEl4MZJe3ZPl646RVG7losaKG9yMLzH6GvQaNeUBJix6iCncv2c
-75.14863,39.950646,160,,Wells Fargo Home Mortgage,
-75.147364,39.950545,161,,Wells Fargo 1,
-75.148967,39.949618,112,"Philadelphia, PA 19106","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgEUZTAAqcZPC1QxGlwfP-WqEvpUFenKBzXeC5MG2PYLa8tLd05WIp6ziJyO1HRPCfxhl9CC4Pj9pKtv3GMBriBQsw_IW_9oxUeRNR90-HxC9J08kEdN31gImzW8GC4LVFHCC-fmWG9hXwuAqSqY4U4fCa2r-AsNTDY"" height=""200"" width=""auto"" /><br><br>491 Ranstead St",https://lh3.googleusercontent.com/umsh/ANkjSgEUZTAAqcZPC1QxGlwfP-WqEvpUFenKBzXeC5MG2PYLa8tLd05WIp6ziJyO1HRPCfxhl9CC4Pj9pKtv3GMBriBQsw_IW_9oxUeRNR90-HxC9J08kEdN31gImzW8GC4LVFHCC-fmWG9hXwuAqSqY4U4fCa2r-AsNTDY
-75.173065,39.963071,113,"Philadelphia, PA 19130","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgF0ZvvO0vmkwFAtgIkawjTyP-R1zEBdq9aioxAtUuqDhiRsaLXlEEWo1HjWYaaeo17mHxx-ARGNc16BXWdsrrtpsLKE4ecoIDn_ucQWm9nep1CZhj_u7-Ug5YBhc6HyFCiguC7Vnz4WnOnlM9r2xDOTAXNL_5aO-_w"" height=""200"" width=""auto"" /><br><br>506 N 21st St",https://lh3.googleusercontent.com/umsh/ANkjSgF0ZvvO0vmkwFAtgIkawjTyP-R1zEBdq9aioxAtUuqDhiRsaLXlEEWo1HjWYaaeo17mHxx-ARGNc16BXWdsrrtpsLKE4ecoIDn_ucQWm9nep1CZhj_u7-Ug5YBhc6HyFCiguC7Vnz4WnOnlM9r2xDOTAXNL_5aO-_w
-75.168818,39.963435,114,"Philadelphia, PA 19130","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgHB-EI0KI4qvyFEUHbE50HtmaU5iizASjnToFT2ZSojgagKWWfUIS5yY9Cw-4lHTZkVk1WwcUSN5KzaWkguWyQtLohTyejfBf95B_54UjEblcHcA9lN-lmzAGv_jTpZDXztvTpa_y6WDjfBMu92xIzDIz2zUL7PJ04"" height=""200"" width=""auto"" /><br><br>1875 Spring Garden St",https://lh3.googleusercontent.com/umsh/ANkjSgHB-EI0KI4qvyFEUHbE50HtmaU5iizASjnToFT2ZSojgagKWWfUIS5yY9Cw-4lHTZkVk1WwcUSN5KzaWkguWyQtLohTyejfBf95B_54UjEblcHcA9lN-lmzAGv_jTpZDXztvTpa_y6WDjfBMu92xIzDIz2zUL7PJ04
-75.167782,39.963317,115,"Philadelphia, PA 19130","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgE7QkgwPA_OfXGGRPwi1VZAu-nJpK7LBgvK6yMELsCngpDLwjTA_NRzxtoQ0Z_nd2hc_bYji0GV7GLVZq6HS0pWxQYzshkIYeK1zrCuQR2y9JWIwdFhBnTNbT79fXToTgqFujrKym7dMzgOnhByi4cECXyq9iCL_2UN"" height=""200"" width=""auto"" /><br><br>1811 Spring Garden St",https://lh3.googleusercontent.com/umsh/ANkjSgE7QkgwPA_OfXGGRPwi1VZAu-nJpK7LBgvK6yMELsCngpDLwjTA_NRzxtoQ0Z_nd2hc_bYji0GV7GLVZq6HS0pWxQYzshkIYeK1zrCuQR2y9JWIwdFhBnTNbT79fXToTgqFujrKym7dMzgOnhByi4cECXyq9iCL_2UN
-75.165658,39.940252,116,"Philadelphia, PA 19147","<img src=""https://lh3.googleusercontent.com/umsh/ANkjSgHN9hQvnc3nCz2ncHHdChb4njPfrSIoAGrAVqKWrMTCwBrd1ufXJ4q3-UFsiTnruaU64cXPYMOMIk_gmtABfv3I4UuZtr0gP0_5pMyX850i_Y6k_6y2vki3G_iuxK6d_uP-xFX0QqyWMbjEVHUX4I3kpByCnS80gzGb"" height=""200"" width=""auto"" /><br><br>1350 Webster St",https://lh3.googleusercontent.com/umsh/ANkjSgHN9hQvnc3nCz2ncHHdChb4njPfrSIoAGrAVqKWrMTCwBrd1ufXJ4q3-UFsiTnruaU64cXPYMOMIk_gmtABfv3I4UuZtr0gP0_5pMyX850i_Y6k_6y2vki3G_iuxK6d_uP-xFX0QqyWMbjEVHUX4I3kpByCnS80gzGb
